"","gender.X","gender.x","Age.X","Age.x","Attitude.X","Attitude.x","deep.X","deep.x","stra.X","stra.x","surf.X","surf.x","Points.X","Points.x"
"54", 54,F, 54, 23, 54, 26, 54.000000,  4.000000, 54.000,  2.750, 54.000000,  2.916667, 54, 25
"55", 55,F, 55, 23, 55, 23, 55.000000,  2.916667, 55.000,  2.375, 55.000000,  3.250000, 55, 21
"56", 56,F, 56, 45, 56, 38, 56.000000,  3.000000, 56.000,  3.125, 56.000000,  3.250000, 56,  9
"57", 57,F, 57, 22, 57, 28, 57.000000,  4.083333, 57.000,  4.000, 57.000000,  2.333333, 57, 28
"58", 58,F, 58, 23, 58, 33, 58.000000,  2.916667, 58.000,  4.000, 58.000000,  3.250000, 58, 25
"59", 59,M, 59, 21, 59, 48, 59.000000,  3.500000, 59.000,  2.250, 59.000000,  2.500000, 59, 29
"60", 60,M, 60, 21, 60, 40, 60.000000,  4.333333, 60.000,  3.250, 60.000000,  1.750000, 60, 33
"61", 61,F, 61, 21, 61, 40, 61.000000,  4.250000, 61.000,  3.625, 61.000000,  2.250000, 61, 33
"62", 62,F, 62, 21, 62, 47, 62.000000,  3.416667, 62.000,  3.625, 62.000000,  2.083333, 62, 25
"63", 63,F, 63, 26, 63, 23, 63.000000,  3.083333, 63.000,  2.500, 63.000000,  2.833333, 63, 18
"64", 64,F, 64, 25, 64, 31, 64.000000,  4.583333, 64.000,  1.875, 64.000000,  2.833333, 64, 22
"65", 65,F, 65, 26, 65, 27, 65.000000,  3.416667, 65.000,  2.000, 65.000000,  2.416667, 65, 17
"66", 66,M, 66, 21, 66, 41, 66.000000,  3.416667, 66.000,  1.875, 66.000000,  2.250000, 66, 25
"67", 67,F, 67, 23, 67, 34, 67.000000,  3.416667, 67.000,  4.000, 67.000000,  2.833333, 67, 28
"68", 68,F, 68, 22, 68, 25, 68.000000,  3.583333, 68.000,  2.875, 68.000000,  2.250000, 68, 22
"69", 69,F, 69, 22, 69, 21, 69.000000,  1.583333, 69.000,  3.875, 69.000000,  1.833333, 69, 26
"70", 70,F, 70, 22, 70, 14, 70.000000,  3.333333, 70.000,  2.500, 70.000000,  2.916667, 70, 11
"71", 71,F, 71, 23, 71, 19, 71.000000,  4.333333, 71.000,  2.750, 71.000000,  2.916667, 71, 29
"72", 72,M, 72, 22, 72, 37, 72.000000,  4.416667, 72.000,  4.500, 72.000000,  2.083333, 72, 22
"73", 73,M, 73, 23, 73, 32, 73.000000,  4.833333, 73.000,  3.375, 73.000000,  2.333333, 73, 21
"74", 74,M, 74, 24, 74, 28, 74.000000,  3.083333, 74.000,  2.625, 74.000000,  2.416667, 74, 28
"75", 75,F, 75, 22, 75, 41, 75.000000,  3.000000, 75.000,  4.125, 75.000000,  2.750000, 75, 33
"76", 76,F, 76, 23, 76, 25, 76.000000,  4.083333, 76.000,  2.625, 76.000000,  3.250000, 76, 16
"77", 77,M, 77, 22, 77, 28, 77.000000,  4.083333, 77.000,  2.250, 77.000000,  1.750000, 77, 31
"78", 78,M, 78, 20, 78, 38, 78.000000,  3.750000, 78.000,  2.750, 78.000000,  2.583333, 78, 22
"79", 79,M, 79, 22, 79, 31, 79.000000,  3.083333, 79.000,  3.000, 79.000000,  3.333333, 79, 31
"80", 80,M, 80, 21, 80, 35, 80.000000,  4.750000, 80.000,  1.625, 80.000000,  2.833333, 80, 23
"81", 81,F, 81, 22, 81, 36, 81.000000,  4.250000, 81.000,  1.875, 81.000000,  2.500000, 81, 26
"82", 82,F, 82, 23, 82, 26, 82.000000,  4.166667, 82.000,  3.375, 82.000000,  2.416667, 82, 12
"83", 83,M, 83, 21, 83, 44, 83.000000,  4.416667, 83.000,  3.750, 83.000000,  2.416667, 83, 26
"84", 84,M, 84, 22, 84, 45, 84.000000,  3.833333, 84.000,  2.125, 84.000000,  2.583333, 84, 31
"85", 85,M, 85, 29, 85, 32, 85.000000,  3.333333, 85.000,  2.375, 85.000000,  3.000000, 85, 19
"86", 86,F, 86, 29, 86, 39, 86.000000,  3.166667, 86.000,  2.750, 86.000000,  2.000000, 86, 30
"87", 87,F, 87, 21, 87, 25, 87.000000,  3.166667, 87.000,  3.125, 87.000000,  3.416667, 87, 12
"88", 88,M, 88, 28, 88, 33, 88.000000,  3.833333, 88.000,  3.500, 88.000000,  2.833333, 88, 17
"89", 89,F, 89, 21, 89, 33, 89.000000,  4.250000, 89.000,  2.625, 89.000000,  2.250000, 89, 18
"90", 90,F, 90, 30, 90, 30, 90.000000,  3.833333, 90.000,  3.375, 90.000000,  2.750000, 90, 19
"91", 91,F, 91, 21, 91, 29, 91.000000,  3.666667, 91.000,  2.250, 91.000000,  3.916667, 91, 21
"92", 92,M, 92, 23, 92, 33, 92.000000,  3.833333, 92.000,  3.000, 92.000000,  2.333333, 92, 24
"93", 93,F, 93, 21, 93, 33, 93.000000,  3.833333, 93.000,  4.000, 93.000000,  2.750000, 93, 28
"94", 94,F, 94, 21, 94, 35, 94.000000,  3.833333, 94.000,  3.500, 94.000000,  2.750000, 94, 17
"95", 95,F, 95, 20, 95, 36, 95.000000,  3.666667, 95.000,  2.625, 95.000000,  2.916667, 95, 18
"96", 96,M, 96, 22, 96, 37, 96.000000,  4.333333, 96.000,  2.500, 96.000000,  2.083333, 96, 17
"97", 97,M, 97, 21, 97, 42, 97.000000,  3.750000, 97.000,  3.750, 97.000000,  3.666667, 97, 23
"98", 98,M, 98, 21, 98, 32, 98.000000,  4.166667, 98.000,  3.625, 98.000000,  2.833333, 98, 26
"99", 99,F, 99, 20, 99, 50, 99.000000,  4.000000, 99.000,  4.125, 99.000000,  3.416667, 99, 28
"100",100,M,100, 22,100, 47,100.000000,  4.000000,100.000,  4.375,100.000000,  1.583333,100, 31
"101",101,F,101, 20,101, 36,101.000000,  4.583333,101.000,  2.625,101.000000,  2.916667,101, 27
"102",102,F,102, 20,102, 36,102.000000,  3.666667,102.000,  4.000,102.000000,  3.000000,102, 25
"103",103,M,103, 24,103, 29,103.000000,  3.666667,103.000,  2.750,103.000000,  2.916667,103, 23
"104",104,F,104, 20,104, 35,104.000000,  3.833333,104.000,  2.750,104.000000,  2.666667,104, 21
"105",105,F,105, 19,105, 40,105.000000,  2.583333,105.000,  1.375,105.000000,  3.000000,105, 27
"106",106,F,106, 21,106, 35,106.000000,  3.500000,106.000,  2.250,106.000000,  2.750000,106, 28
"107",107,F,107, 21,107, 32,107.000000,  3.083333,107.000,  3.625,107.000000,  3.083333,107, 23
"108",108,F,108, 22,108, 26,108.000000,  4.250000,108.000,  3.750,108.000000,  2.500000,108, 21
"109",109,F,109, 25,109, 20,109.000000,  3.166667,109.000,  4.000,109.000000,  2.333333,109, 25
"110",110,F,110, 21,110, 27,110.000000,  3.083333,110.000,  3.125,110.000000,  3.000000,110, 11
"111",111,F,111, 22,111, 32,111.000000,  4.166667,111.000,  3.250,111.000000,  3.000000,111, 19
"112",112,F,112, 25,112, 33,112.000000,  2.250000,112.000,  2.125,112.000000,  4.000000,112, 24
"113",113,F,113, 20,113, 39,113.000000,  3.333333,113.000,  2.875,113.000000,  3.250000,113, 28
"114",114,M,114, 24,114, 33,114.000000,  3.083333,114.000,  1.500,114.000000,  3.500000,114, 21
"115",115,F,115, 20,115, 30,115.000000,  2.750000,115.000,  2.500,115.000000,  3.500000,115, 24
"116",116,M,116, 21,116, 37,116.000000,  3.250000,116.000,  3.250,116.000000,  3.833333,116, 24
"117",117,F,117, 20,117, 25,117.000000,  4.000000,117.000,  3.625,117.000000,  2.916667,117, 20
"118",118,F,118, 20,118, 29,118.000000,  3.583333,118.000,  3.875,118.000000,  2.166667,118, 19
"119",119,M,119, 31,119, 39,119.000000,  4.083333,119.000,  3.875,119.000000,  1.666667,119, 30
"120",120,F,120, 20,120, 36,120.000000,  4.250000,120.000,  2.375,120.000000,  2.083333,120, 22
"121",121,F,121, 22,121, 29,121.000000,  3.416667,121.000,  3.000,121.000000,  2.833333,121, 16
"122",122,F,122, 22,122, 21,122.000000,  3.083333,122.000,  3.375,122.000000,  3.416667,122, 16
"123",123,M,123, 21,123, 31,123.000000,  3.500000,123.000,  2.750,123.000000,  3.333333,123, 19
"124",124,M,124, 22,124, 40,124.000000,  3.666667,124.000,  4.500,124.000000,  2.583333,124, 30
"125",125,F,125, 21,125, 31,125.000000,  4.250000,125.000,  2.625,125.000000,  2.833333,125, 23
"126",126,F,126, 21,126, 23,126.000000,  4.250000,126.000,  2.750,126.000000,  3.333333,126, 19
"127",127,F,127, 21,127, 28,127.000000,  3.833333,127.000,  3.250,127.000000,  3.000000,127, 18
"128",128,F,128, 21,128, 37,128.000000,  4.416667,128.000,  4.125,128.000000,  2.583333,128, 28
"129",129,F,129, 20,129, 26,129.000000,  3.500000,129.000,  3.375,129.000000,  2.416667,129, 21
"130",130,F,130, 21,130, 24,130.000000,  3.583333,130.000,  2.750,130.000000,  3.583333,130, 19
"131",131,F,131, 25,131, 30,131.000000,  3.666667,131.000,  4.125,131.000000,  2.083333,131, 27
"132",132,M,132, 21,132, 28,132.000000,  2.083333,132.000,  3.250,132.000000,  4.333333,132, 24
"133",133,F,133, 24,133, 29,133.000000,  4.250000,133.000,  2.875,133.000000,  2.666667,133, 21
"134",134,F,134, 20,134, 24,134.000000,  3.583333,134.000,  2.875,134.000000,  3.000000,134, 20
"135",135,M,135, 21,135, 31,135.000000,  4.000000,135.000,  2.375,135.000000,  2.666667,135, 28
"136",136,F,136, 20,136, 19,136.000000,  3.333333,136.000,  3.875,136.000000,  2.166667,136, 12
"137",137,F,137, 20,137, 20,137.000000,  3.500000,137.000,  2.125,137.000000,  2.666667,137, 21
"138",138,F,138, 18,138, 38,138.000000,  3.166667,138.000,  4.000,138.000000,  2.250000,138, 28
"139",139,F,139, 21,139, 34,139.000000,  3.583333,139.000,  3.250,139.000000,  2.666667,139, 31
"140",140,F,140, 19,140, 37,140.000000,  3.416667,140.000,  2.625,140.000000,  3.333333,140, 18
"141",141,F,141, 21,141, 29,141.000000,  4.250000,141.000,  2.750,141.000000,  3.500000,141, 25
"142",142,F,142, 20,142, 23,142.000000,  3.250000,142.000,  4.000,142.000000,  2.750000,142, 19
"143",143,M,143, 21,143, 41,143.000000,  4.416667,143.000,  3.000,143.000000,  2.000000,143, 21
"144",144,F,144, 20,144, 27,144.000000,  3.250000,144.000,  3.375,144.000000,  2.833333,144, 16
"145",145,F,145, 21,145, 35,145.000000,  3.916667,145.000,  3.875,145.000000,  3.500000,145,  7
"146",146,F,146, 20,146, 34,146.000000,  3.583333,146.000,  3.250,146.000000,  2.500000,146, 21
"147",147,F,147, 18,147, 32,147.000000,  4.500000,147.000,  3.375,147.000000,  3.166667,147, 17
"148",148,M,148, 22,148, 33,148.000000,  3.583333,148.000,  4.125,148.000000,  3.083333,148, 22
"149",149,F,149, 22,149, 33,149.000000,  3.666667,149.000,  3.500,149.000000,  2.916667,149, 18
"150",150,M,150, 24,150, 35,150.000000,  2.583333,150.000,  2.000,150.000000,  3.166667,150, 25
"151",151,F,151, 19,151, 32,151.000000,  4.166667,151.000,  3.625,151.000000,  2.500000,151, 24
"152",152,F,152, 20,152, 31,152.000000,  3.250000,152.000,  3.375,152.000000,  3.833333,152, 23
"153",153,F,153, 20,153, 28,153.000000,  4.333333,153.000,  2.125,153.000000,  2.250000,153, 23
"154",154,F,154, 17,154, 17,154.000000,  3.916667,154.000,  4.625,154.000000,  3.416667,154, 26
"155",155,M,155, 19,155, 19,155.000000,  2.666667,155.000,  2.500,155.000000,  3.750000,155, 12
"156",156,F,156, 20,156, 35,156.000000,  3.083333,156.000,  2.875,156.000000,  3.000000,156, 32
"157",157,F,157, 20,157, 24,157.000000,  3.750000,157.000,  2.750,157.000000,  2.583333,157, 22
"158",158,F,158, 20,158, 21,158.000000,  4.166667,158.000,  4.000,158.000000,  3.333333,158, 20
"159",159,F,159, 20,159, 29,159.000000,  4.166667,159.000,  2.375,159.000000,  2.833333,159, 21
"160",160,F,160, 19,160, 19,160.000000,  3.250000,160.000,  3.875,160.000000,  3.000000,160, 23
"161",161,F,161, 19,161, 20,161.000000,  4.083333,161.000,  3.375,161.000000,  2.833333,161, 20
"162",162,F,162, 22,162, 42,162.000000,  2.916667,162.000,  1.750,162.000000,  3.166667,162, 28
"163",163,M,163, 35,163, 41,163.000000,  3.833333,163.000,  3.000,163.000000,  2.750000,163, 31
"164",164,F,164, 18,164, 37,164.000000,  3.166667,164.000,  2.625,164.000000,  3.416667,164, 18
"165",165,F,165, 19,165, 36,165.000000,  3.416667,165.000,  2.625,165.000000,  3.000000,165, 30
"166",166,M,166, 21,166, 18,166.000000,  4.083333,166.000,  3.375,166.000000,  2.666667,166, 19
